time,A,B,S
                1790,  1, 1, 2
                1792,  1, 1, 2
                1794,  1, 1, 2
                1796,  1, 1, 2
                1798,  1, 1, 2
                1800,  1, 1, 2
                1802,  1, 1, 2
                1804,  1, 1, 2
                1806,  1, 1, 2
                1808,  1, 1, 2
                1810,  1, 1,15
                1812,  1, 1,15
                1814,  1, 1,15
                1816,  1, 1,15
                1818,  1, 1,15
                1820,  1, 1, 1
                1822,  1, 1, 1
                1824,  1, 1, 1
                1826,  1, 1, 1
                1828,  1, 1, 1
                1830,  1, 1, 2
                1832,  1, 1, 2
                1834,  1, 1, 2
                1836,  1, 1, 2
                1838,  1, 1, 2
                1840,  1, 1, 2
                1842,  1, 1, 2
                1844,  1, 1, 2
                1846,  1, 1, 2
                1848,  1, 1, 2
                1850,  1, 1,15
                1852,  1, 1,15
                1854,  1, 1,15
                1856,  1, 1,15
                1858,  1, 1,15
                1860,  1, 1, 2
                1862,  1, 1, 2
                1864,  1, 1, 2
                1866,  1, 1, 2
                1868,  1, 1, 2
                1870,  1, 1, 2
                1872,  1, 1, 2
                1874,  1, 1, 2
                1876,  1, 1, 2
                1878,  1, 1, 2
                1880,  1, 1, 2
                1882,  1, 1, 2
                1884,  1, 1, 2
                1886,  1, 1, 2
                1888,  1, 1, 2
                1890,  1, 1, 2
                1892,  1, 1, 2
                1894,  1, 1, 2
                1896,  1, 1, 2
                1898,  1, 1, 2
                1900,  1, 1, 2
                1902,  1, 1, 2
                1904,  1, 1, 2
                1906,  1, 1, 2
                1908,  1, 1, 2
                1910,  1, 1, 2
                1912,  1, 1, 2
                1914,  1, 1, 2
                1916,  1, 1, 2
                1918,  1, 1, 2
                1920,  1, 1,15
                1922,  1, 1,15
                1924,  1, 1,15
                1926,  1, 1,15
                1928,  1, 1,15
                1930,  1, 1, 1
                1932,  1, 1, 1
                1934,  1, 1, 1
                1936,  1, 1, 1
                1938,  1, 1, 1
                1940,  1, 1, 1
                1942,  1, 1, 1
                1944,  1, 1, 1
                1946,  1, 1, 1
                1948,  1, 1, 1
                1950,  1, 1, 2
                1952,  1, 1, 2
                1954,  1, 1, 2
                1956,  1, 1, 2
                1958,  1, 1, 2
                1960,  1, 1, 0
                1962,  1, 1, 0
                1964,  1, 1, 0
                1966,  1, 1, 0
                1968,  1, 1, 0
                1970,  1, 1,13
                1972,  1, 1,13
                1974,  1, 1,13
                1976,  1, 1,13
                1978,  1, 1,13
                1980,  1, 1, 4
                1982,  1, 1, 4
                1984,  1, 1, 4
                1986,  1, 1, 4
                1988,  1, 1, 4
                1990,  1, 1, 4
                1992,  1, 1, 4
                1994,  1, 1, 4
                1996,  1, 1, 4
                1998,  1, 1, 4
                2000,  1, 1, 4
                2002,  1, 1, 4
                2004,  1, 1, 4
                2006,  1, 1, 4
                2008,  1, 1, 4
                2010,  1, 1,15
                2012,  1, 1,15
                2014,  1, 1,15
                2016,  1, 1,15
                2018,  1, 1,15
                2020,  1, 1, 1
                2022,  1, 1, 1
                2024,  1, 1, 1
                2026,  1, 1, 1
                2028,  1, 1, 1
                2030,  1, 1, 1
                2032,  1, 1, 1
                2034,  1, 1, 1
                2036,  1, 1, 1
                2038,  1, 1, 1
                2040,  1, 1, 1
                2042,  1, 1, 1
                2044,  1, 1, 1
                2046,  1, 1, 1
                2048,  1, 1, 1
                2050,  1, 1, 1
                2052,  1, 1, 1
                2054,  1, 1, 1
                2056,  1, 1, 1
                2058,  1, 1, 1
                2060,  1, 1, 2
                2062,  1, 1, 2
                2064,  1, 1, 2
                2066,  1, 1, 2
                2068,  1, 1, 2
                2070,  1, 1, 0
                2072,  1, 1, 0
                2074,  1, 1, 0
                2076,  1, 1, 0
                2078,  1, 1, 0
                2080,  1, 1,13
                2082,  1, 1,13
                2084,  1, 1,13
                2086,  1, 1,13
                2088,  1, 1,13
                2090,  1, 1, 1
                2092,  1, 1, 1
                2094,  1, 1, 1
                2096,  1, 1, 1
                2098,  1, 1, 1
                2100,  1, 1, 2
                2102,  1, 1, 2
                2104,  1, 1, 2
                2106,  1, 1, 2
                2108,  1, 1, 2
                2110,  1, 1, 0
                2112,  1, 1, 0
                2114,  1, 1, 0
                2116,  1, 1, 0
                2118,  1, 1, 0
                2120,  1, 1, 4
                2122,  1, 1, 4
                2124,  1, 1, 4
                2126,  1, 1, 4
                2128,  1, 1, 4
                2130,  1, 1, 4
                2132,  1, 1, 4
                2134,  1, 1, 4
                2136,  1, 1, 4
                2138,  1, 1, 4
                2140,  1, 1, 4
                2142,  1, 1, 4
                2144,  1, 1, 4
                2146,  1, 1, 4
                2148,  1, 1, 4
                2150,  1, 1, 4
                2152,  1, 1, 4
                2154,  1, 1, 4
                2156,  1, 1, 4
                2158,  1, 1, 4
                2160,  1, 1, 4
                2162,  1, 1, 4
                2164,  1, 1, 4
                2166,  1, 1, 4
